row ID,id,time,atoms,cores,timesteps,outfreq,task,utime,Prediction (utime)
26,4294.0,0.06369426751592357,0.0,0.0,1.0,0.0,namd_ID0000002,0.38547750676347614,0.3502231469951115
27,4295.0,0.06687898089171974,0.0,0.0,1.0,0.0,namd_ID0000002,0.07709828159585957,0.3479286158206866
28,4444.0,0.0031847133757961785,0.0,0.0,1.0,1.0,namd_ID0000002,0.33263470812793394,0.3156093495298934
29,4445.0,0.006369426751592357,0.0,0.0,1.0,1.0,namd_ID0000002,0.38422105071805124,0.39714485657190485
30,4446.0,0.009554140127388536,0.0,0.0,1.0,1.0,namd_ID0000002,0.38502625191141715,0.3820315386407261
31,4447.0,0.012738853503184714,0.0,0.0,1.0,1.0,namd_ID0000002,0.3852657805532684,0.379690104890642
32,4448.0,0.01592356687898089,0.0,0.0,1.0,1.0,namd_ID0000002,0.3853288706866131,0.38180688703951676
33,4449.0,0.019108280254777073,0.0,0.0,1.0,1.0,namd_ID0000002,0.38538768352278197,0.3845665700096753
34,4450.0,0.02229299363057325,0.0,0.0,1.0,1.0,namd_ID0000002,0.38620678593196955,0.38671148794664656
35,4451.0,0.025477707006369428,0.0,0.0,1.0,1.0,namd_ID0000002,0.3855609140584065,0.38790900254388133
36,4452.0,0.028662420382165606,0.0,0.0,1.0,1.0,namd_ID0000002,0.38562721216463314,0.3881826082028355
37,4453.0,0.03184713375796178,0.0,0.0,1.0,1.0,namd_ID0000002,0.3855138637894714,0.3876778921183353
38,4454.0,0.03503184713375796,0.0,0.0,1.0,1.0,namd_ID0000002,0.3855160024380594,0.38656414467523115
39,4455.0,0.038216560509554146,0.0,0.0,1.0,1.0,namd_ID0000002,0.38547857608777014,0.38499687982965564
40,4456.0,0.04140127388535032,0.0,0.0,1.0,1.0,namd_ID0000002,0.38547750676347614,0.3831066221686886
41,4457.0,0.0445859872611465,0.0,0.0,1.0,1.0,namd_ID0000002,0.38546039757477246,0.38099815379705765
42,4458.0,0.04777070063694268,0.0,0.0,1.0,1.0,namd_ID0000002,0.38546788284483036,0.3787534187918875
43,4459.0,0.050955414012738856,0.0,0.0,1.0,1.0,namd_ID0000002,0.38658746538062594,0.37643532927205203
44,4460.0,0.054140127388535034,0.0,0.0,1.0,1.0,namd_ID0000002,0.38558764716575594,0.3740914317914104
45,4461.0,0.05732484076433121,0.0,0.0,1.0,1.0,namd_ID0000002,0.39110322187409774,0.37175708806142593
46,4462.0,0.06050955414012739,0.0,0.0,1.0,1.0,namd_ID0000002,0.3855897858143439,0.36945809688617826
47,4463.0,0.06369426751592357,0.0,0.0,1.0,1.0,namd_ID0000002,0.15423185089342042,0.36721278627253906
48,4563.0,0.0031847133757961785,0.0,1.0,0.0,0.0,namd_ID0000002,0.5361923500540009,0.421728264267031
49,4572.0,0.0031847133757961785,0.0,1.0,0.0,1.0,namd_ID0000002,0.43614316113647783,0.4181898778215817
50,4573.0,0.006369426751592357,0.0,1.0,0.0,1.0,namd_ID0000002,0.15302779173840048,0.32964320721776913
51,4583.0,0.0031847133757961785,0.0,1.0,1.0,0.0,namd_ID0000002,0.65795951538223,0.42578143986687583
52,4584.0,0.006369426751592357,0.0,1.0,1.0,0.0,namd_ID0000002,0.7758461028476105,0.7491890503962536
53,4585.0,0.009554140127388536,0.0,1.0,1.0,0.0,namd_ID0000002,0.7707026529935733,0.7483802345143181
54,4586.0,0.012738853503184714,0.0,1.0,1.0,0.0,namd_ID0000002,0.770767881775506,0.769535557962588
55,4587.0,0.01592356687898089,0.0,1.0,1.0,0.0,namd_ID0000002,0.7665536747329362,0.770549615623549
56,4588.0,0.019108280254777073,0.0,1.0,1.0,0.0,namd_ID0000002,0.7706759198862239,0.7689954223032568
57,4589.0,0.02229299363057325,0.0,1.0,1.0,0.0,namd_ID0000002,0.7710437674433525,0.7645161165314903
58,4590.0,0.025477707006369428,0.0,1.0,1.0,0.0,namd_ID0000002,0.7708994086636655,0.7517479683755882
59,4591.0,0.028662420382165606,0.0,1.0,1.0,0.0,namd_ID0000002,0.30835142273597316,0.7371352920850794
60,4670.0,0.0031847133757961785,0.0,1.0,1.0,1.0,namd_ID0000002,0.5365644749083054,0.5355571634958517
61,4671.0,0.006369426751592357,0.0,1.0,1.0,1.0,namd_ID0000002,0.7671856453906776,0.7326424100669499
62,4672.0,0.009554140127388536,0.0,1.0,1.0,1.0,namd_ID0000002,0.7706769892105179,0.7415205974731119
63,4673.0,0.012738853503184714,0.0,1.0,1.0,1.0,namd_ID0000002,0.616368146967931,0.7496186012776348
64,4674.0,0.01592356687898089,0.0,1.0,1.0,1.0,namd_ID0000002,0.7707229701551589,0.7681002978286856
65,4675.0,0.019108280254777073,0.0,1.0,1.0,1.0,namd_ID0000002,0.7708491504218484,0.7714831276263092
66,4676.0,0.02229299363057325,0.0,1.0,1.0,1.0,namd_ID0000002,0.7708299025845567,0.7749674957001282
67,4677.0,0.025477707006369428,0.0,1.0,1.0,1.0,namd_ID0000002,0.7707283167766288,0.7209288330198755
68,4678.0,0.028662420382165606,0.0,1.0,1.0,1.0,namd_ID0000002,0.7710352128490007,0.6292160504296052
69,4751.0,0.0031847133757961785,1.0,0.0,0.0,0.0,namd_ID0000002,0.32010436605109227,0.31322302394652823
70,4752.0,0.006369426751592357,1.0,0.0,0.0,0.0,namd_ID0000002,0.38356876289872427,0.3841467324298066
71,4753.0,0.009554140127388536,1.0,0.0,0.0,0.0,namd_ID0000002,0.38613407187997906,0.37963314060418923
72,4754.0,0.012738853503184714,1.0,0.0,0.0,0.0,namd_ID0000002,0.1539121229295208,0.23915652048618335
73,4779.0,0.0031847133757961785,1.0,0.0,0.0,1.0,namd_ID0000002,0.3286204647283381,0.29621200434257633
74,4780.0,0.006369426751592357,1.0,0.0,0.0,1.0,namd_ID0000002,0.39451757434477147,0.3841081368655703
75,4781.0,0.009554140127388536,1.0,0.0,0.0,1.0,namd_ID0000002,0.3867467947004288,0.3867596063882258
76,4782.0,0.012738853503184714,1.0,0.0,0.0,1.0,namd_ID0000002,0.15385544874193996,0.20567992399243723
77,4825.0,0.0031847133757961785,1.0,0.0,1.0,0.0,namd_ID0000002,0.3333383235133719,0.3314249519854934
78,4826.0,0.006369426751592357,1.0,0.0,1.0,0.0,namd_ID0000002,0.38364468492359677,0.3768415712645106
79,4827.0,0.009554140127388536,1.0,0.0,1.0,0.0,namd_ID0000002,0.38460386881529557,0.3820496834492196
80,4828.0,0.012738853503184714,1.0,0.0,1.0,0.0,namd_ID0000002,0.3868195087524193,0.3861802038892726
81,4829.0,0.01592356687898089,1.0,0.0,1.0,0.0,namd_ID0000002,0.3848744078616722,0.3853218577394003
82,4830.0,0.019108280254777073,1.0,0.0,1.0,0.0,namd_ID0000002,0.3849075569147855,0.3814744349799736
83,4831.0,0.02229299363057325,1.0,0.0,1.0,0.0,namd_ID0000002,0.38494605258936876,0.3804458632303737
84,4832.0,0.025477707006369428,1.0,0.0,1.0,0.0,namd_ID0000002,0.3849588844808965,0.3835943620299989
85,4833.0,0.028662420382165606,1.0,0.0,1.0,0.0,namd_ID0000002,0.38492680475207713,0.3872188861455426
86,4834.0,0.03184713375796178,1.0,0.0,1.0,0.0,namd_ID0000002,0.3849695777238363,0.386443431691102
87,4835.0,0.03503184713375796,1.0,0.0,1.0,0.0,namd_ID0000002,0.38498561758824595,0.3819625695084615
88,4836.0,0.038216560509554146,1.0,0.0,1.0,0.0,namd_ID0000002,0.38496209245377844,0.37779060156057115
89,4837.0,0.04140127388535032,1.0,0.0,1.0,0.0,namd_ID0000002,0.38496102312948444,0.3757997420577891
90,4838.0,0.0445859872611465,1.0,0.0,1.0,0.0,namd_ID0000002,0.38499096420971585,0.3758280186294141
91,4839.0,0.04777070063694268,1.0,0.0,1.0,0.0,namd_ID0000002,0.38505084637017867,0.3771659614472567
92,4840.0,0.050955414012738856,1.0,0.0,1.0,0.0,namd_ID0000002,0.3850198359656533,0.379191343195607
93,4841.0,0.054140127388535034,1.0,0.0,1.0,0.0,namd_ID0000002,0.3850123506955954,0.3814780004593022
94,4842.0,0.05732484076433121,1.0,0.0,1.0,0.0,namd_ID0000002,0.3910850433611001,0.3837580466207082
95,4843.0,0.06050955414012739,1.0,0.0,1.0,0.0,namd_ID0000002,0.3850241132628292,0.3858692304231687
96,4844.0,0.06369426751592357,1.0,0.0,1.0,0.0,namd_ID0000002,0.3854636055476544,0.3877153255596979
97,4845.0,0.06687898089171974,1.0,0.0,1.0,0.0,namd_ID0000002,0.3851278377193451,0.38923979216127214
98,4846.0,0.07006369426751592,1.0,0.0,1.0,0.0,namd_ID0000002,0.40008875391640025,0.39040843872675834
99,4847.0,0.0732484076433121,1.0,0.0,1.0,0.0,namd_ID0000002,0.38580258134884565,0.39119747018452633
100,4848.0,0.07643312101910829,1.0,0.0,1.0,0.0,namd_ID0000002,0.3864655624111124,0.39158445792521135
101,4849.0,0.07961783439490447,1.0,0.0,1.0,0.0,namd_ID0000002,0.3850070040741255,0.39154050425638326
102,4850.0,0.08280254777070065,1.0,0.0,1.0,0.0,namd_ID0000002,0.38499203353400985,0.39102215001103
103,4851.0,0.08598726114649682,1.0,0.0,1.0,0.0,namd_ID0000002,0.38496743907524833,0.3899614267084657
104,4852.0,0.089171974522293,1.0,0.0,1.0,0.0,namd_ID0000002,0.3862281724178491,0.3882518011361478
105,4853.0,0.09235668789808918,1.0,0.0,1.0,0.0,namd_ID0000002,0.3080381107178374,0.3857262882667548
106,4854.0,0.09554140127388536,1.0,0.0,1.0,0.0,namd_ID0000002,0.3864142348450014,0.38212096893915476
107,4855.0,0.09872611464968153,1.0,0.0,1.0,0.0,namd_ID0000002,0.38500165745265563,0.37701084817578756
108,4856.0,0.10191082802547771,1.0,0.0,1.0,0.0,namd_ID0000002,0.38653934578739696,0.36969147235776273
109,4857.0,0.10509554140127389,1.0,0.0,1.0,0.0,namd_ID0000002,0.3850294598842991,0.3589488132879608
110,4858.0,0.10828025477707007,1.0,0.0,1.0,0.0,namd_ID0000002,0.38499738015547974,0.34257986288423875
111,4859.0,0.11146496815286625,1.0,0.0,1.0,0.0,namd_ID0000002,0.38511286717922943,0.3162682112197822
112,5095.0,0.0031847133757961785,1.0,0.0,1.0,1.0,namd_ID0000002,0.32857020648652113,0.25486187468465016
113,5096.0,0.006369426751592357,1.0,0.0,1.0,1.0,namd_ID0000002,0.3838018755948116,0.3781157992097853
114,5097.0,0.009554140127388536,1.0,0.0,1.0,1.0,namd_ID0000002,0.38459210624806184,0.3897181791719511
115,5098.0,0.012738853503184714,1.0,0.0,1.0,1.0,namd_ID0000002,0.38848123870526213,0.3901440886102091
116,5099.0,0.01592356687898089,1.0,0.0,1.0,1.0,namd_ID0000002,0.38693713442475697,0.38757829939806143
117,5100.0,0.019108280254777073,1.0,0.0,1.0,1.0,namd_ID0000002,0.38490541826619756,0.3856361814723413
118,5101.0,0.02229299363057325,1.0,0.0,1.0,1.0,namd_ID0000002,0.3849984494797737,0.3861158706453888
119,5102.0,0.025477707006369428,1.0,0.0,1.0,1.0,namd_ID0000002,0.3859800891816461,0.38873326194163427
120,5103.0,0.028662420382165606,1.0,0.0,1.0,1.0,namd_ID0000002,0.3867489333490168,0.3901479581735319
121,5104.0,0.03184713375796178,1.0,0.0,1.0,1.0,namd_ID0000002,0.38535560379396255,0.3862856988336588
122,5105.0,0.03503184713375796,1.0,0.0,1.0,1.0,namd_ID0000002,0.38499203353400985,0.3797293375517856
123,5106.0,0.038216560509554146,1.0,0.0,1.0,1.0,namd_ID0000002,0.38497385502101217,0.37508579284154503
124,5107.0,0.04140127388535032,1.0,0.0,1.0,1.0,namd_ID0000002,0.38528716703914795,0.37354758500300794
125,5108.0,0.0445859872611465,1.0,0.0,1.0,1.0,namd_ID0000002,0.38523583947303697,0.3743141884020894
126,5109.0,0.04777070063694268,1.0,0.0,1.0,1.0,namd_ID0000002,0.3851898585283959,0.3763644086114999
127,5110.0,0.050955414012738856,1.0,0.0,1.0,1.0,namd_ID0000002,0.38120341756044357,0.3789691373715193
128,5111.0,0.054140127388535034,1.0,0.0,1.0,1.0,namd_ID0000002,0.3850754408289402,0.3816891752952198
129,5112.0,0.05732484076433121,1.0,0.0,1.0,1.0,namd_ID0000002,0.3850070040741255,0.3842797558816244
130,5113.0,0.06050955414012739,1.0,0.0,1.0,1.0,namd_ID0000002,0.3850583316402365,0.38661153743531224
131,5114.0,0.06369426751592357,1.0,0.0,1.0,1.0,namd_ID0000002,0.38501769731706537,0.3886198265331375
132,5115.0,0.06687898089171974,1.0,0.0,1.0,1.0,namd_ID0000002,0.3851096592063475,0.3902741871478032
133,5116.0,0.07006369426751592,1.0,0.0,1.0,1.0,namd_ID0000002,0.38509682731481976,0.39156029696294176
134,5117.0,0.0732484076433121,1.0,0.0,1.0,1.0,namd_ID0000002,0.3859212763454773,0.3924685730365289
135,5118.0,0.07643312101910829,1.0,0.0,1.0,1.0,namd_ID0000002,0.38500058812836163,0.39298620988635685
136,5119.0,0.07961783439490447,1.0,0.0,1.0,1.0,namd_ID0000002,0.3850134200198894,0.3930905014916593
137,5120.0,0.08280254777070065,1.0,0.0,1.0,1.0,namd_ID0000002,0.3852433247430948,0.39274185937907496
138,5121.0,0.08598726114649682,1.0,0.0,1.0,1.0,namd_ID0000002,0.3850241132628292,0.3918749556957548
139,5122.0,0.089171974522293,1.0,0.0,1.0,1.0,namd_ID0000002,0.38496850839954233,0.3903859153589169
140,5123.0,0.09235668789808918,1.0,0.0,1.0,1.0,namd_ID0000002,0.3850070040741255,0.3881122403291025
